"","ID","F.1","F.2","F.3","F.4","W.1","W.2","W.3","W.4","logFC","logCPM","PValue","FDR"
"9478","PmetTSAr1.1-002424",78.3938183137274,94.5923279166529,89.2276871000319,88.7550767592222,69.4303930645329,85.8924327420243,71.1284382365781,73.6232960485805,-0.226016608634514,6.34766310948101,0.56335471471357,0.990989090838189
"9479","PmetTSAr1.1-002853",101.034955338126,113.61151818364,108.355668743888,128.946952354904,98.406383718481,104.808350503304,83.5627429949725,98.0152087212106,-0.232046274294373,6.70942854490309,0.564035913204603,0.990989090838189
"9480","PmetTSAr1.1-003036",21.9252117429945,22.0705556836538,24.4171583862856,29.2520751376858,22.676862250916,21.040833633142,21.5492823990818,21.0631998193697,-0.177652174635821,4.52706920995301,0.563535717887794,0.990989090838189
"9481","PmetTSAr1.1-003426",28.5475205959806,25.507044890773,27.9674277065467,38.7173807513435,35.7230570767516,42.6024799799757,27.3976206540893,31.6087859175137,0.186352804353615,5.01440537000344,0.563477197464246,0.990989090838189
"9482","PmetTSAr1.1-003590",69.4447522961786,62.6566782160103,60.1734422546297,49.562052509705,57.1400936470611,55.2686451769562,85.6965961420698,82.4905395316352,0.214354404634298,6.03051490535779,0.561726497039205,0.990989090838189
"9483","PmetTSAr1.1-003641",26.1312727712425,26.69204116909,33.1841499730529,45.9947262734019,30.6277621018544,34.4569691378385,24.6315147226669,25.9024210262103,-0.19060411181111,4.95458336029426,0.56063171504624,0.990989090838189
"9484","PmetTSAr1.1-004003",48.6381738053777,42.39324185679,44.8130933588061,37.6234007055438,53.7525623725416,54.1436897153823,42.2555610857301,46.9935932224982,0.184584468497657,5.53577544160128,0.563984566492862,0.990989090838189
"9485","PmetTSAr1.1-004153",56.4238612406451,59.249813915849,62.3108492943787,49.3242307606181,42.3021467421408,54.4561773435972,43.2829718602584,58.602129643532,-0.194534675991057,5.73617276971471,0.560709501280818,0.990989090838189
"9486","PmetTSAr1.1-004246",10.2914259201811,8.08759959951339,7.64394720994995,9.08479081511867,7.22300056881027,8.9579786754961,6.40155944129203,8.30779594469165,-0.183067477280967,3.05429415886776,0.559310299463641,0.990989090838189
"9487","PmetTSAr1.1-004268",71.2793108297761,83.0978640169782,83.4313290261362,50.9414186544089,81.1607699572906,84.850807314641,75.0800181386102,98.2669601134739,0.232828224303659,6.29611097084584,0.561507711390925,0.990989090838189
